task_id,question_id,image_path,query_text,ground_truth_code,model_response,code_generation_time
1,q4,..\Datasets\TurtleBench\Tasks\1\image\1.png,"recreates the given shape + its horizontal and vertical diameters.

Constraint - Use these variables strictly:
radius=100","t.circle(radius)
t.circle(radius, 90)
t.left(90)
t.forward(2 * radius)
t.left(90)
t.circle(radius, 90)
t.left(90)
t.forward(2 * radius)
","radius = 100
t.penup()
t.goto(0, -radius)
t.pendown()
t.circle(radius)
t.penup()
t.goto(-radius, 0)
t.pendown()
t.goto(radius, 0)
t.penup()
t.goto(0, -radius)
t.pendown()
t.goto(0, radius)",2.23
1,q1,..\Datasets\TurtleBench\Tasks\1\image\1.png,"creates exactly the same shape.

Constraint - Use these variables strictly:
radius=100","t.circle(radius)
","radius = 100
t.penup()
t.goto(0, -radius)
t.pendown()
t.circle(radius)",1.9
1,q3,..\Datasets\TurtleBench\Tasks\1\image\1.png,"divides the shape into four equal pieces and draws the upper left and bottom right quarters.

Constraint - Use these variables strictly:
radius=100","for i in range(4):
        if i % 2 == 0:
          t.penup()
        else:
          t.pendown()
        t.circle(radius, 90)
","radius = 100
t.penup()
t.goto(0, -radius)
t.pendown()
t.circle(radius)
t.penup()
t.goto(0, 0)
t.pendown()
t.goto(0, radius)
t.penup()
t.goto(0, 0)
t.pendown()
t.goto(0, -radius)
t.penup()
t.goto(0, 0)
t.pendown()
t.goto(radius, 0)
t.penup()
t.goto(0, 0)
t.pendown()
t.goto(-radius, 0)
t.penup()
t.goto(0, radius)
t.setheading(0)
t.pendown()
t.circle(-radius, 90)
t.penup()
t.goto(0, -radius)
t.setheading(180)
t.pendown()
t.circle(radius, 90)",1.55
1,q2,..\Datasets\TurtleBench\Tasks\1\image\1.png,"creates the upper semicircle in the given shape.

Constraint - Use these variables strictly:
radius=100","t.setheading(90)
t.circle(radius, 180)
","radius = 100
t.circle(radius, 180)",1.26
2,q4,..\Datasets\TurtleBench\Tasks\2\image\2.png,"in the given shape connects the midpoints of each side.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
t.forward(triangle_side / 2)
t.right(60)
for i in range(3):
  t.forward(triangle_side / 2)
  t.right(120)
","triangle_side = 200

# Draw the outer triangle
for _ in range(3):
    t.forward(triangle_side)
    t.left(120)

# Store vertices
vertices = []
for _ in range(3):
    vertices.append(t.pos())
    t.forward(triangle_side)
    t.left(120)

# Calculate midpoints
m1 = ((vertices[0][0] + vertices[1][0]) / 2, (vertices[0][1] + vertices[1][1]) / 2)
m2 = ((vertices[1][0] + vertices[2][0]) / 2, (vertices[1][1] + vertices[2][1]) / 2)
m3 = ((vertices[2][0] + vertices[0][0]) / 2, (vertices[2][1] + vertices[0][1]) / 2)

# Draw the inner triangle connecting midpoints
t.penup()
t.goto(m1)
t.pendown()
t.goto(m2)
t.goto(m3)
t.goto(m1)",4.15
2,q1,..\Datasets\TurtleBench\Tasks\2\image\2.png,"creates exactly the same shape.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
","triangle_side = 200
for _ in range(3):
    t.forward(triangle_side)
    t.left(120)",2.16
2,q3,..\Datasets\TurtleBench\Tasks\2\image\2.png,"recreates the same shape upside down.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(0)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
","triangle_side = 200
t.setheading(240)
t.forward(triangle_side)
t.left(120)
t.forward(triangle_side)
t.left(120)
t.forward(triangle_side)",2.86
2,q2,..\Datasets\TurtleBench\Tasks\2\image\2.png,"removes the bottom side of the given shape.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(2):
  t.forward(triangle_side)
  t.right(120)
","triangle_side = 200
t.left(60)
t.forward(triangle_side)
t.right(120)
t.forward(triangle_side)",1.76
3,q10,..\Datasets\TurtleBench\Tasks\3\image\3.png,"in the given shape connects the midpoints of each side of the square.

Constraint - Use these variables strictly:
square_side=200","for i in range(4):
  t.forward(square_side)
  t.right(90)
t.forward(square_side / 2)
t.right(45)
for i in range(4):
  t.forward(square_side * sqrt(2) / 2)
  t.right(90)
","square_side = 200

# Draw the square
for _ in range(4):
    t.forward(square_side)
    t.left(90)

# Move to the midpoint of the first side
t.penup()
t.forward(square_side / 2)
t.pendown()

# Connect the midpoints
for _ in range(4):
    t.left(90)
    t.forward(square_side / 2)
    t.right(45)
    t.forward((square_side**2 / 2)**0.5)
    t.left(45)
    t.forward(square_side / 2)",4.0
3,q9,..\Datasets\TurtleBench\Tasks\3\image\3.png,"in the given shape, adds four smaller squares to divide the larger square into four equal pieces.

Constraint - Use these variables strictly:
square_side=200","for j in range(4):
  t.right(90)
  for i in range(4):
    t.forward(square_side / 2)
    t.right(90)
","square_side = 200

# Draw outer square
for _ in range(4):
    t.forward(square_side)
    t.left(90)

# Draw vertical divider
t.penup()
t.goto(square_side / 2, 0)
t.pendown()
t.goto(square_side / 2, square_side)

# Draw horizontal divider
t.penup()
t.goto(0, square_side / 2)
t.pendown()
t.goto(square_side, square_side / 2)",1.93
